City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Ouallam,NE,14.3188,2.0866,87.35,14,0,9.33,clear sky
123,La Ronge,CA,55.1001,-105.2842,12.45,79,90,11.5,overcast clouds
124,Kuybysheve,UA,47.358,36.6491,28.0,78,0,6.85,clear sky
125,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,26.46,scattered clouds
126,Paciran,ID,-6.8767,112.3761,78.85,84,100,8.88,light rain
127,Mandera,KE,3.9366,41.867,89.73,29,16,9.17,few clouds
128,Urengoy,RU,65.9667,78.3667,1.27,98,97,6.85,overcast clouds
129,Saskylakh,RU,71.9167,114.0833,-0.02,92,97,11.21,overcast clouds
130,Cabedelo,BR,-6.9811,-34.8339,86.67,67,22,11.52,few clouds
131,Riyadh,SA,24.6877,46.7219,68.14,32,0,9.69,clear sky
132,Russell,US,32.3502,-85.1999,67.91,50,1,9.22,clear sky
133,Bilibino,RU,68.0546,166.4372,-21.98,99,99,2.91,overcast clouds
134,Flinders,AU,-34.5833,150.8552,62.2,93,100,15.46,moderate rain
135,Assiniboia,CA,49.6334,-105.9845,33.62,64,100,17.27,overcast clouds
136,Yuryevets,RU,57.3201,43.1041,30.4,95,100,15.23,overcast clouds
137,Preobrazheniye,RU,42.9019,133.9064,22.78,69,3,9.86,clear sky
138,Nanortalik,GL,60.1432,-45.2371,38.07,96,100,5.17,light rain
139,Karratha,AU,-20.7377,116.8463,79.81,44,77,8.48,light rain
140,Sola,VU,-13.8833,167.55,80.56,74,24,18.25,few clouds
141,Manzil Salim,TN,35.8567,8.4765,51.8,50,7,11.1,clear sky
142,Carnarvon,AU,-24.8667,113.6333,68.07,73,0,6.91,clear sky
143,Sobolevo,RU,54.4299,31.8996,31.98,88,79,14.94,broken clouds
144,San Cristobal,VE,7.7669,-72.225,77.18,68,100,5.55,overcast clouds
145,George Town,MY,5.4112,100.3354,78.73,93,40,4.61,light rain
146,Presque Isle,US,46.6811,-68.0159,45.03,34,1,10.36,clear sky
147,Zhongxing,CN,33.7039,118.6792,45.75,66,0,4.25,clear sky
148,Salvador,SV,13.8333,-88.9167,82.8,52,100,1.92,overcast clouds
149,Dikson,RU,73.5069,80.5464,-2.72,94,100,4.32,overcast clouds
150,Kodiak,US,57.79,-152.4072,17.11,62,20,24.16,volcanic ash
151,Port Macquarie,AU,-31.4333,152.9167,69.89,93,100,10.02,light rain
152,Akoupe,CI,6.39,-3.9003,80.31,69,41,3.09,scattered clouds
153,Klaksvik,FO,62.2266,-6.589,40.12,72,100,26.87,overcast clouds
154,Labuhan,ID,-6.8844,112.2051,78.6,85,100,7.0,overcast clouds
155,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,-5.82,93,6,3.11,clear sky
156,Paamiut,GL,61.994,-49.6678,32.2,95,100,2.17,overcast clouds
157,Mumford,GH,5.2618,-0.759,81.9,81,45,9.98,scattered clouds
158,Madimba,TZ,-10.4,40.3333,78.33,81,43,5.37,scattered clouds
159,Batagay-Alyta,RU,67.8006,130.4114,-23.42,80,96,2.44,overcast clouds
160,Tuatapere,NZ,-46.1333,167.6833,56.97,75,100,8.37,overcast clouds
161,Fortuna,US,40.5982,-124.1573,57.36,62,1,1.01,clear sky
162,Valley,US,45.1277,-116.1262,26.6,64,94,9.57,overcast clouds
163,Torbay,CA,47.6666,-52.7314,52.29,99,90,14.97,light intensity drizzle
164,Roswell,US,34.0232,-84.3616,65.39,52,1,1.99,clear sky
